Date,AdjustedVolume,MarketCap,AdjustedOpenPrice,AdjustedLowPrice,AdjustedHighPrice,AdjustedClosePrice,Volume,ClosePrice,OpenPrice,LowPrice,HighPrice
2016-02-16,49057916.0,513362448732.0,90.2297763731841,89.8404456184693,91.9675209613017,91.7681076479111,49057916.0,96.64,95.02,94.61,96.85
2016-02-12,40351381.0,499285353439.0,89.4416189916882,88.3211060878747,89.7359910257409,89.2517015503639,40351381.0,93.99,94.19,93.01,94.5
2016-02-11,50074711.0,497744841124.0,89.0617841090396,87.9222794610937,89.9449002111977,88.9763212604436,50074711.0,93.7,93.79,92.59,94.72
2016-02-10,42343601.0,500772744640.0,91.0844048591436,89.3561561430923,91.4927273579909,89.5175859682179,42343601.0,94.27,95.92,94.1,96.35
2016-02-09,44331195.0,504597464870.0,89.5365777123504,89.1947263179666,91.103396603276,90.2012887569855,44331195.0,94.99,94.29,93.93,95.94
2016-02-08,54021375.0,504703707099.0,88.4350565526693,88.3495937040734,90.8754956736868,90.2202805011179,54021375.0,95.01,93.13,93.04,95.7
2016-02-05,46418064.0,499444716782.0,91.6541571831165,88.9668253883774,92.0339920657652,89.2801891665625,46418064.0,94.02,96.52,93.69,96.92
2016-02-04,46471652.0,513149964275.0,91.0274296267463,90.3912061983098,92.42332282048,91.7301241596463,46471652.0,96.6,95.86,95.19,97.33
2016-02-03,45964294.0,509059638473.0,89.7239179138768,88.8550126035529,91.4617285345245,90.9989420105477,45964294.0,96.35,95.0,94.08,96.84
2016-02-02,37357215.0,499179601898.0,90.1205920772855,89.043905062319,90.7061586994603,89.232797521085,37357215.0,94.48,95.42,94.28,96.04
2016-02-01,40943541.0,509482313834.0,91.1122774858073,90.1017028314089,91.3389484363265,91.0744989940541,40943541.0,96.43,96.47,95.4,96.71
2016-01-29,64416504.0,514290246071.0,89.5255808321724,89.1100174228871,91.9339596814396,91.9339596814396,64416504.0,97.34,94.79,94.35,97.34
2016-01-28,55678825.0,497119059511.0,88.5811185383421,87.2588713269797,89.2705760128382,88.8644572264912,55678825.0,94.09,93.79,92.39,94.52
2016-01-27,133369674.0,493579153359.0,90.7061586994603,88.1561105061185,91.2623525442969,88.2316674896249,133369674.0,93.42,96.04,93.34,96.6289
2016-01-26,75077002.0,528291367420.0,94.3801170224601,92.6234171559357,95.2773562015988,94.4367847600899,75077002.0,99.99,99.93,98.07,100.88
2016-01-25,51794525.0,525385474309.0,95.8818120696502,93.7001041709023,95.8912566925885,93.9173304984832,51794525.0,99.44,101.52,99.21,101.53
2016-01-22,65800467.0,535846689506.0,93.1523160404807,92.9067558440848,95.8251443320204,95.7873658402672,65800467.0,101.42,98.63,98.37,101.46
2016-01-21,52161463.0,508795466372.0,91.6695102391672,89.667250176247,92.443969320108,90.9517188958561,52161463.0,96.3,97.06,94.94,97.88
2016-01-20,72334416.0,511384352961.0,89.8183641432598,88.2316674896249,92.7364692925072,91.414505419833,72334416.0,96.79,95.1,93.42,98.1897
2016-01-19,53087747.0,510697505498.0,92.944534335838,90.1961490607919,93.1712052863573,91.291725321635,53087747.0,96.66,98.41,95.5,98.65
2016-01-15,79833891.0,513180723247.0,90.8572726664731,90.0639243396557,92.2834107301568,91.7356225997353,79833891.0,97.13,96.2,95.36,97.71
2016-01-14,63170127.0,525808149671.0,92.5195263036144,90.4228200113112,94.8995712840667,93.9928874819896,63170127.0,99.52,97.96,95.74,100.48
2016-01-13,62439631.0,514554418172.0,94.7484573170539,91.8961811896864,95.5701395126862,91.9811827961312,62439631.0,97.39,100.32,97.3,101.19
