Date,AdjustedLowPrice
2011-02-14,44.8130832466681
2011-02-11,44.4148522114193
2011-02-10,43.7188555685025
2011-02-09,44.5819260792945
2011-02-08,44.2402154840464
2011-02-07,43.6736291661902
2011-02-04,43.1547818285525
2011-02-03,42.5316625078061
2011-02-02,43.159806984365
2011-02-01,42.8369407234137
2011-01-31,41.997739702731
2011-01-28,41.9007541955503
2011-01-27,43.0694798086358
2011-01-26,42.9022677489759
2011-01-25,42.0316595044652
2011-01-24,41.0454726762676
2011-01-21,41.0341660756895
2011-01-20,41.4726109203277
2011-01-19,42.3218622526354
2011-01-18,40.9550198716431
2011-01-14,43.2716167011925
2011-01-13,43.1974956529586
2011-01-12,42.9650821966317
2011-01-11,42.6472410914929
2011-01-10,42.3582946322758
2011-01-07,41.6962303539827
2011-01-06,41.8218592492945
2011-01-05,41.3947210052344
2011-01-04,41.2251219965635
2011-01-03,40.8088506519479
2010-12-31,40.3658203526308
2010-12-30,40.5844146304733
2010-12-29,40.8419538658625
2010-12-28,40.83692871005
2010-12-27,40.3922024206463
2010-12-23,40.5994900979108
2010-12-22,40.6472290781292
2010-12-21,40.4587857351616
2010-12-20,39.9788833550705
2010-12-17,40.2301411456941
2010-12-16,40.2138093893036
2010-12-15,40.0994870945698
2010-12-14,40.0756176044606
2010-12-13,40.3268753950842
2010-12-10,40.0253660463359
2010-12-09,40.0781301823668
2010-12-08,39.8381789923213
2010-12-07,39.9650641765862
2010-12-06,40.0027528451798
2010-12-03,39.7414447429312
2010-12-02,39.5592828447291
2010-12-01,39.5731020232135
2010-11-30,39.0542546855758
2010-11-29,39.1183254221848
2010-11-26,39.3143064988712
2010-11-24,39.1648081134501
2010-11-23,38.5127941467819
2010-11-22,38.4261102090168
2010-11-19,38.3469640049704
2010-11-18,38.2778681125489
2010-11-17,37.4072598680382
2010-11-16,37.6032409447246
2010-11-15,38.4763617671415
2010-11-12,38.1447014835184
2010-11-11,39.4788803517296
2010-11-10,39.3909401250114
2010-11-09,39.5102875755576
2010-11-08,39.7942088789622
2010-11-05,39.7929525900091
2010-11-04,39.5768708900728
2010-11-03,38.7602830705462
2010-11-02,38.5680708607191
2010-11-01,37.9650521632226
2010-10-29,37.7979657324579
2010-10-28,37.8017345993172
2010-10-27,38.3921904072826
2010-10-26,38.3984718520482
2010-10-25,38.7489764699681
2010-10-22,38.4801306340009
2010-10-21,38.5429450816568
2010-10-20,38.5517391043286
2010-10-19,37.6911811714428
2010-10-18,39.4839055075421
2010-10-15,38.3055064695175
2010-10-14,37.7389201516613
2010-10-13,37.6635428144743
2010-10-12,36.7451955897451
2010-10-11,37.010272558853
2010-10-08,36.4323796404187
2010-10-07,36.0441863539053
2010-10-06,35.8368986766408
2010-10-05,35.404798091216
2010-10-04,34.8959382507555
2010-10-01,35.3456896959718
2010-09-30,35.3331268064406
2010-09-29,35.9298640591716
2010-09-28,34.5479462107419
2010-09-27,36.5592648246836
2010-09-24,36.5014755328402
2010-09-23,35.9298640591716
2010-09-22,35.4788563250023
