date,marketcap
2015-07-14,678893132364.0
2015-07-13,679163370853.0
2015-07-10,666300018771.0
2015-07-09,648950707770.0
2015-07-08,662462632226.0
2015-07-07,679325513947.0
2015-07-06,681000992579.0
2015-07-02,683379091284.0
2015-07-01,684243854449.0
2015-06-30,677893249955.0
2015-06-29,673055980999.0
2015-06-26,692383092289.0
2015-06-25,696480033664.0
2015-06-24,699812212648.0
2015-06-23,693912617069.0
2015-06-22,697080918399.0
2015-06-19,691563704014.0
2015-06-18,698555817294.0
2015-06-17,695387515964.0
2015-06-16,697026292514.0
2015-06-15,693311732334.0
2015-06-12,694677379459.0
2015-06-11,702434255128.0
2015-06-10,704018405793.0
2015-06-09,696043026584.0
2015-06-08,698118810214.0
2015-06-05,702762010438.0
2015-06-04,706640448273.0
2015-06-03,710792015532.0
2015-06-02,709918001372.0
2015-06-01,713058989759.0
2015-05-29,711666029692.0
2015-05-28,719859912441.0
2015-05-27,721307498393.0
2015-05-26,708060721282.0
2015-05-22,724011479700.0
2015-05-21,717729502926.0
2015-05-20,710464260222.0
2015-05-19,710518886107.0
2015-05-18,711174396727.0
2015-05-15,703417521058.0
2015-05-14,704400786988.0
2015-05-13,688340776800.0
2015-05-12,687548701467.0
2015-05-11,690034179235.0
2015-05-08,697135544284.0
2015-05-07,684243835425.0
2015-05-06,680037642281.0
2015-05-05,684335136381.0
2015-05-04,700110747633.0
2015-05-01,701470714120.0
2015-04-30,680799223514.0
2015-04-29,699784355676.0
2015-04-28,710228898298.0
2015-04-27,721598218131.0
2015-04-24,708705735832.0
2015-04-23,705387417603.0
2015-04-22,699675558357.0
