DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
0.613,22.59,0.37,1.76,1.64,2.52,3.15,7.97,57.207,13900000000,17320000000,14.25,2.28,0.47,10.67,0.47,2150000000,10.67,610830000,0.94,9.7,17.7,1420000000,2.17,4850000000,1.605,12.075,860610000,0.397
0.613,24.1,0.4,1.89,1.64,2.52,3.15,7.97,57.207,14820000000,18380000000,15,2.37,0.49,11.32,0.49,2150000000,11.32,610830000,0.94,9.7,17.7,1420000000,2.17,4850000000,1.605,12.075,860610000,0.452
0.613,25.22,0.42,1.99,1.64,2.52,3.15,7.97,57.207,15520000000,19120000000,15.1,1.79,0.51,11.78,0.51,2150000000,11.78,610830000,0.94,9.7,17.7,1420000000,2.17,4850000000,1.605,12.075,860610000,0.428
0.528,22.73,0.43,2.01,1.9,2.69,3.56,8.88,56.837,16040000000,19170000000,15.61,1.8,0.52,11.42,0.52,2150000000,11.42,703510000,1.08,9.7,17.7,1250000000,1.9,4510000000,1.741,12.075,860610000,0.428
85.48,9.43,0.27,1.18,2.86,3.56,4.3,13.25,114.86,32290000000,32290000000,9.09,0.96,0.44,9.17,0.44,3840000000,9.17,2100000000,3.25,37.3,32.6,1620000000,2.54,14260000000,1.74,26.1,32290000000,0.28
85.48,8.64,0.26,1.14,2.86,3.56,4.3,13.25,114.86,31540000000,31540000000,7.84,0.85,0.43,8.96,0.43,3840000000,8.96,2100000000,3.25,37.3,32.6,1620000000,2.54,14260000000,1.74,26.1,31540000000,0.26
54.78,8.23,0.21,0.92,2.52,3.34,4.55,12.06,125.66,26220000000,26220000000,7.49,0.82,0.33,7.35,0.33,4300000000,7.35,2040000000,3.13,14.6,45.6,1350000000,2,10320000000,2.08,27.82,26220000000,0.29
51.59,8.76,0.22,1.04,2.51,3.37,4.66,12.65,131.92,26870000000,26870000000,8.51,1.15,0.31,7.22,0.31,4300000000,7.22,2150000000,3.26,33.3,30.4,1830000000,2.73,9500000000,1.88,27.52,618000000,0.63
55.68,13.83,0.2,0.98,1.48,2.58,3.36,7.54,134.59,27220000000,27220000000,9.7,1.11,0.31,8.67,0.31,4300000000,8.67,1320000000,1.99,31,5.4,1250000000,1.89,10330000000,1.84,27.81,4670000000,0.77
46.71,17.53,0.24,1.14,1.37,1.84,2.46,6.7,138.08,28470000000,28470000000,10.95,1.61,0.31,11.15,0.31,3670000000,11.15,1240000000,1.89,32.6,2.7,1630000000,2.48,8860000000,1.73,28.76,3470000000,0.76
