Date,OpenPrice
2014-07-18,93.62
2014-07-17,95.03
2014-07-16,96.97
2014-07-15,96.8
2014-07-14,95.86
2014-07-11,95.38
2014-07-10,93.75
2014-07-09,95.45
2014-07-08,96.2
2014-07-07,94.15
2014-07-03,93.69
2014-07-02,93.85
2014-07-01,93.56
2014-06-30,92.16
2014-06-27,90.86
2014-06-26,90.43
2014-06-25,90.25
2014-06-24,90.75
2014-06-23,91.33
2014-06-20,91.92
2014-06-19,92.26
2014-06-18,92.26
2014-06-17,92.4
2014-06-16,91.58
2014-06-13,92.18
2014-06-12,94.04
2014-06-11,94.13
2014-06-10,94.64
2014-06-09,92.7
2014-06-06,650.0
2014-06-05,646.25
2014-06-04,637.28
2014-06-03,628.47
2014-06-02,634.0
2014-05-30,637.98
2014-05-29,628.0
2014-05-28,626.09
2014-05-27,615.89
2014-05-23,607.25
2014-05-22,606.6
2014-05-21,604.0
2014-05-20,604.51
2014-05-19,597.63
2014-05-16,588.81
2014-05-15,594.7
2014-05-14,592.43
2014-05-13,592.0
2014-05-12,587.45
2014-05-09,584.61
2014-05-08,588.25
2014-05-07,595.1
2014-05-06,601.62
2014-05-05,590.13
2014-05-02,592.89
2014-05-01,592.0
2014-04-30,592.64
2014-04-29,593.77
2014-04-28,572.57
2014-04-25,564.1
2014-04-24,568.36
2014-04-23,529.04
2014-04-22,528.29
2014-04-21,525.28
2014-04-17,520.0
2014-04-16,518.25
2014-04-15,519.96
2014-04-14,521.79
2014-04-11,519.18
2014-04-10,530.7
2014-04-09,522.8
2014-04-08,525.07
2014-04-07,528.24
2014-04-04,540.0
2014-04-03,541.67
2014-04-02,542.38
2014-04-01,537.9
2014-03-31,539.23
2014-03-28,537.71
2014-03-27,539.76
2014-03-26,547.11
2014-03-25,541.24
2014-03-24,538.25
2014-03-21,533.68
2014-03-20,530.0
